title,icon,time,compatible,evaluate,discount,original_price,now_price,detailLink
The Sims™ 4 Cats & Dogs,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1235721/capsule_sm_120.jpg?t=1711660626,"Jun 18, 2020","[""win""]",Mixed,50,39.99,19.99,https://store.steampowered.com/app/1235721/The_Sims_4_Cats__Dogs/?snr=1_7_7_2300_150_3
Golf With Your Friends,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/431240/capsule_sm_120.jpg?t=1718962902,"May 19, 2020","[""win"", ""mac"", ""linux""]",Positive,33,14.99,4.94,https://store.steampowered.com/app/431240/Golf_With_Your_Friends/?snr=1_7_7_2300_150_3
Call of Duty®: WWII,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/476600/capsule_sm_120.jpg?t=1646764749,"Nov 2, 2017","[""win""]",Mixed,33,59.99,19.79,https://store.steampowered.com/app/476600/Call_of_Duty_WWII/?snr=1_7_7_2300_150_3
"Ranch Simulator: Build, Hunt, Farm",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1119730/capsule_sm_120.jpg?t=1722609184,"Nov 3, 2023","[""win""]",Positive,30,24.99,7.49,https://store.steampowered.com/app/1119730/Ranch_Simulator_Build_Hunt_Farm/?snr=1_7_7_2300_150_3
Among Us,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/945360/capsule_sm_120.jpg?t=1718741655,"Nov 16, 2018","[""win""]",Positive,70,4.99,3.49,https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_2300_150_3
STAR WARS™ Battlefront™ II,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1237950/capsule_sm_120.jpg?t=1701356407,"Jun 11, 2020","[""win""]",Positive,25,39.99,9.99,https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II/?snr=1_7_7_2300_150_3
Kingdom Rush 5: Alliance TD,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2849080/capsule_sm_120.jpg?t=1721909708,"Jul 25, 2024","[""win"", ""mac""]",Positive,90,19.99,17.99,https://store.steampowered.com/app/2849080/Kingdom_Rush_5_Alliance_TD/?snr=1_7_7_2300_150_3
Icarus: New Frontiers Expansion,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1648532/capsule_sm_120.jpg?t=1697156657,"Aug 24, 2023","[""win""]",Positive,60,29.99,17.99,https://store.steampowered.com/app/1648532/Icarus_New_Frontiers_Expansion/?snr=1_7_7_2300_150_3
The Sims™ 4 Seasons,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1235733/capsule_sm_120.jpg?t=1711660625,"Jun 18, 2020","[""win""]",Mixed,50,39.99,19.99,https://store.steampowered.com/app/1235733/The_Sims_4_Seasons/?snr=1_7_7_2300_150_3
The Sims™ 4 Cottage Living Expansion Pack,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1458150/capsule_sm_120.jpg?t=1683505068,"Jul 22, 2021","[""win""]",Positive,50,39.99,19.99,https://store.steampowered.com/app/1458150/The_Sims_4_Cottage_Living_Expansion_Pack/?snr=1_7_7_2300_150_3
The Thaumaturge,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1684350/capsule_sm_120.jpg?t=1722001998,"Mar 4, 2024","[""win""]",Positive,67,34.99,23.44,https://store.steampowered.com/app/1684350/The_Thaumaturge/?snr=1_7_7_2300_150_3
Darkest Dungeon®,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262060/capsule_sm_120.jpg?t=1698787583,"Jan 19, 2016","[""win"", ""mac"", ""linux""]",Positive,15,24.99,3.74,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_2300_150_3
Descenders,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/681280/capsule_sm_120.jpg?t=1722956970,"May 7, 2019","[""win"", ""mac"", ""linux""]",Positive,20,24.99,4.99,https://store.steampowered.com/app/681280/Descenders/?snr=1_7_7_2300_150_3
